file_name,file_id,drive_folder_id,mimeType,modifiedTime,size
9_Respark081919_090519_DONE,1-4sT_rg2v0lVJJa4qJ1UYQbUCLiEY-cpw-hn8t1HrXg,1rzbNvk_a9rtYMYBGdL-XYtdvKNpOmoqE,application/vnd.google-apps.spreadsheet,2020-04-27T00:45:26.890Z,
Bonita Canyon1,1dPUQx1j7WaA1iKA0HUxWTju-aacfRbZz,0ACQBvZlfUN2CUk9PVA,application/vnd.google-apps.folder,2021-08-13T21:06:22.147Z,
Bonita Canyon2,1nsuuDXHyeV5gdjgS3_MV7FyIdfbLEiEQ,0ACQBvZlfUN2CUk9PVA,application/vnd.google-apps.folder,2021-08-13T21:06:30.611Z,
Data From Other Camera Studies,1I--F8Vt5svw3xJebfBwJnQN25FZ68WlM,0ACQBvZlfUN2CUk9PVA,application/vnd.google-apps.folder,2021-08-18T22:48:11.922Z,
IMG_0070_bird.JPG,19m8IUTyL7pL0gzKNrhCYCLOuAe3q-GBE,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-14T18:11:06.000Z,1719082
IMG_0073_bird.JPG,1bMiZE2T49j4LqbFgVjGTxCL5-y7RGREL,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-14T18:13:24.000Z,1722245
IMG_0140_coyote.JPG,10CeYFG44bn10eSwKAMafI4PEBFkuXrGJ,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-18T12:01:38.000Z,634010
IMG_0141_coyote.JPG,1Vm4A92LHRC-Dd8bWO8MKQJLZQV_VGfEX,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-18T12:01:40.000Z,629834
IMG_0142_coyote.JPG,1lb1SdcO-ZYrEitfohldCZQGhho5ZI_IU,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-18T12:03:16.000Z,618802
IMG_0143_coyote.JPG,1DMOfUYQuvty56oKaCIp67DvX3_5lk67Q,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-18T12:03:18.000Z,626152
IMG_0144_coyote.JPG,1YVqTOaodZPgykiatThfk3EmA41RVqw8o,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-18T12:03:20.000Z,594747
IMG_0154_bird.JPG,1dW4GPPvbs6Vle3wRFhTbHzLrq0gn3fEg,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-06-19T18:49:14.000Z,1734301
IMG_0214_coyote.JPG,1BR5VGOt8qJ0Bh4ZlJYgYkYqVubVmzcMJ,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-02T08:42:42.000Z,554236
IMG_0223_bird.JPG,1pIfrL7eEIWacQZPQLy6c9E3X6cams3C-,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-04T17:29:41.000Z,1655837
IMG_0229_coyote.JPG,15MH5MX9rBwpLXIJv8f6QVwseYWJmcELc,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-05T09:22:16.000Z,630344
IMG_0230_coyote.JPG,1L0hjFYqS8j7dfAj86cETw2GZKkLhwXUS,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-05T09:22:16.000Z,604500
IMG_0316_bird.JPG,1iv7mlq_fHvwXP8opxLtpmMY2Ytm-UF6c,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-13T21:48:06.000Z,1803631
IMG_0317_bird.JPG,1IGCqi7R4AAKZNcHErSV_0zgQ0_Esrhm3,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-13T21:48:08.000Z,1801546
IMG_0318_bird.JPG,1EdO7wWuVjqogfiAJLBmgnxX6PAwWsLHB,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-13T21:48:10.000Z,1802387
IMG_0334_coyote.JPG,1Fi0wl4aEvRzRvsJ_NVCoQhI9PrhrmlqU,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-14T08:28:08.000Z,636659
IMG_0336_coyote.JPG,1upm5Ng6faQwSuymFPVq5ukeCarZ1neUP,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-14T08:28:12.000Z,638903
IMG_0343_coyote.JPG,1gNHwP5dw13SimffJKbf6LAmjpvyvyShv,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-15T08:04:52.000Z,651945
IMG_0344_coyote.JPG,1f73O2UVElTYgBg-jiRgH_cRbWOoMk8tc,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-15T08:04:54.000Z,603308
IMG_0353_rodent.JPG,17nGiwqs7AP-xU3Xp5AH9UfeNf0578tfl,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-16T05:18:24.000Z,658324
IMG_0354_rodent.JPG,1ylgrpxe0G0MagAxPK_OYGN7f_pxwvirQ,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-16T05:18:26.000Z,659261
IMG_0367_coyote.JPG,1LfU5OyRqMQpIDgpDZ7dP5fUqNAKHKrbV,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-18T10:21:36.000Z,615377
IMG_0368_coyote.JPG,1LNOu5TBmcApbHJr6eC101r_QrVnjurmv,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-18T10:21:38.000Z,565089
IMG_0754_coyote.JPG,1RNGY8wF25FxrRbx4IrOjLAqemkI7cTNi,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-24T10:53:22.000Z,645578
IMG_0755_coyote.JPG,1r7xfzdvwPDiK0rrvUoDdv__8721NupTR,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-24T10:53:24.000Z,596420
IMG_0896_coyote.JPG,1-H7_9WTjZSHVvOvSYlt4apNV08zR0eFM,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-07-27T09:43:12.000Z,624343
IMG_1336_coyote.JPG,1ygythFeyRq1cH0j1qLoZEJ8OOkv6cWPp,1kE_fTAPnPgkmBAOYpOQr4l3-MRC9mEqs,image/jpeg,2020-08-01T09:34:42.000Z,653031
